user_id,os,age
-DM7pBgq8_K3F5ttDYENsUzf8EMYx1kR,iOS,22
-DhBA7c5OP3gFvBkng5b2jHdNYGDF3at,iOS,27
-DmelscKWaGOgODpbk5udtReEUvRmY25,iOS,25
-Dt4wPzvVjzno0dgjUAhs_BtbniR8fyU,iOS,34
-Dtg2_c38T2WqcxvzxNoQOKjwV_WXW3U,And,30
-EBvKufhJMmB-uL4Gb8up_dZubfazQrN,And,25
-EpdIEklTRF8V0wFNcJ1hTriLDKGgY7h,iOS,15
-EzeqHwqCE5w2DcivhEZT6OcjzIe-BnO,iOS,-1
-G8e4-zH6pTty3OzEgDWpMDxzaQw0Inq,iOS,27
-GCtw39Q5SUAkgnbzaVsWxxYUyvXYESf,And,29
-GN_i-M2FVR_OC7ERqsbuXsHT5WHT_19,iOS,29
-HrAJSQTzq7A2a7if0CARcpR-MPQNtjM,iOS,33
-IP3FwhEXrqR1OUDjicLNuZD0pXNhAwh,And,32
-IeEef_WmYqN9g87TP-XY_cBDExtMnYM,iOS,17
-IfjJ89djHFZi9rTYHcE_AJqfwdJbqYP,And,21
-Ii7NyvhizIwHlbCvi4ovYoB3WOxVR6e,iOS,20
-J1-YI15bmfHqz706XL-t2DELNae3BK4,iOS,26
-JrptE-k2qGZTgqoWgKQ2CkDI3e2i--i,And,19
-K76uxrcXqUDULcH-OKfoWxfWrH7-bYc,iOS,29
-KAPzobWDxGY7bCfCSfgeWBH8uzDXS8n,iOS,26
-L2Awbp23c9b1o1R_do--BZEtPivAUua,iOS,26
-LF9kd_LkqLCKsyRECBwDnToEIoZpT4F,And,23
-LHdmkfa3uKwlpRTaOpARhyNHqcWAIFI,iOS,27
-LJW8D3rOJs-cTcSsspvuSUh4pKDUdh_,And,40
-MhXFZWekBnvZ-Bj4lbt_Q5rDbwOAJIc,And,28
-N19jslUgVdZgFhTsbt-Qa8-2avlWjJQ,iOS,38
-NHyDXqV106lyjbh4e3e5JXoIqEYzxpZ,iOS,20
-O78CyLDmPILHvfRINWC7GtxZ6C8XEFd,And,45
-O8132_YYdBFHlNUbLWQpeIKGMdX_mjI,iOS,18
-OAaalRdrKcy2JnQuUktMTivUkhzhGqL,iOS,21
-OjNBoKeSseQqxcl7hC7LofbZAxkM7h7,And,41
-Q2zMYOSfxJzAT3bCmpb-mm2pBCL9_Hd,iOS,28
-Qhp1QtAa66pHomNmhUl1qkksPW-Jmin,And,41
-QmN2AFoHc97kjxWy28HF9flCsfce9hg,And,15
-QmYIj-H47FsR_I8SD0qIxC7RACgcpFU,And,38
-RX5mi3RbwWxrZX05aE9Oqujjc8v0sDI,iOS,42
-RkcyYiat4mnNUK48f_0xL1rWJC1e5Sy,And,36
-SXxoXdABrYMQnFPoS7RUV4grtN_-20j,iOS,22
-SnTp0qfMPhA5YoODFQZHTCI2m1BJATt,iOS,26
-Sp5JstbFxVFSRTFEZ00pVyADBzt6h8d,And,20
-TorTFJx8gRSr7xTxVwumR0Rk0ohtsoK,And,39
-U-JT5YB3QE68MYwRy0BYeJMT6A2AUTs,iOS,-1
-UGZrYZ4hoGNyUEawyoI0Q4UZXW9TNe2,And,32
-UiAEis3zGS38VgdUczHp3tGrypLp83k,And,23
-UnJPVKthwrXlYyXwvZe8B_eISA4ONLK,iOS,23
-VHehO1XVrDe_wHR1QEuOEVeeG9PgDH7,iOS,21
-VI_fTFPd4n1Iu6LAcF1uKDdhYKgqK44,And,32
-WxYaD63mK1pn_T0A_EjiTs4f5VYsLoM,And,19
-XRBHrHjtKKB8pubuJ309ZTe8AjLQcaU,And,31
-ZsgqTZl3KSd_oXnl8N5XNKNk60JWPJa,iOS,-1
-ZxtGvoUVaNpSPcSf-2FfDGJTcmnceK_,And,43
-_8SvCI-GlKGtaoS2E0PNSQT3ampaHdr,iOS,27
-__V4fapuZu9JrEXk3S5B0V5Uftme2so,iOS,28
-ayuG0oBDd5HxFZ6g_59IN6s8jc5JoLR,And,19
-b0w_nXB4TLZQzp0u7vR7eoxvp0qreVt,iOS,17
-b3xSGJo8dxPFgkGoP1fF4OKQe47WTQ3,And,25
-bAmsDSUs_GwVs2sBRRiFtDpclgqnTWp,iOS,28
-bW8vR_yKhs40MmASelnYoyY3daCIMkW,iOS,31
-bpKDs9gKdOVd33-yIwyia68QJXlQA0J,iOS,36
-by1c_0QC-R8GN0ZhZeV8697f3Awzagi,And,45
-c59nvb2SpJP-fVBqMkV5nOCI3ySQDWs,And,15
-cNzffxv2Egd3c3COdtI2mDrp8ypWv0z,And,19
-cckGqSmzK_SQvzueqkrnQzJ6OgD6IAZ,And,38
-cm3QsSxiloyb5kpVV1gka38-dTWzzSp,iOS,28
-cmO1MWB0jSPkf836eBLRGmRWQAO-QtQ,iOS,33
-czlIBWDQG0fOX-m6gPh9Rl82FzqOu_d,iOS,24
-d0OtLmJDVgGxab_DNkvvQZgVG0X1Xux,iOS,24
-dmc0sa0gCvJ5KmqkVKZT8Jb5tfRpkjw,iOS,16
-eGH0rie-miqE6oRMLTjyCkZhUWJh_QM,And,24
-eRC4daHqu5n662d-Y3a8qjtVx1pOttI,iOS,20
-ed4eHabeosfJaBWnsZxgXRrBAOETXYK,iOS,19
-egWwe3isl7rtKJDxP8ozKC_dzZUhumA,And,39
-ekX42BJpQaWE8_19gyjU0of98E5_N9B,iOS,26
-etFrkS-ghB79NyWTUCL92dCvEGXCD-6,And,16
-fK48I4C6gjWI3F1xBffm4303nL_-VOU,iOS,-1
-fNm3fnrElUu7nF-OwtVxA7fY8ijU0aJ,And,38
-fSOxMY6izO8LrY3s5oyaHVmhk7hpprL,And,39
-fp540bwSD_DJp-xbwjn395KoX66v6YT,iOS,15
-gACDk5ovMXy6DclIVCPAdjQOqjGq_1l,And,19
-gycbv-w_Yfm3QmnQJUOB-KRQJdXhan1,iOS,25
-h8JdR6KGdu_BQeAvIxDtqNCRqG3Zkk4,iOS,31
-hXRmy_ILzSgXkpzCYKfB5GFDPOtV7ys,iOS,29
-icMk-sfTgtBE1aExGorSxYo2mntelyj,And,44
-iezn-WitSN0k6W55Lss8SiLcqxZ-PRD,And,40
-if4yvtFMDPrtC578OMJ5gta-JNM-VaL,And,28
-iyXTao7hdCDWujpJ_lqoBW0K6-JXCRL,iOS,24
-k4EuKu1x29GF9gqHMrAazkd9rrTfZxu,iOS,26
-lEUMUFkTARejo2wQaqRWVnm24Jg98rA,And,34
-mZEEW22aqNU6B794YSve6VB0UOFGCwA,And,36
-m_o_fjLt2dumaTA3hGFfWDWc5XVFYbh,iOS,27
-mfvXk0bpG9FF9BxhtsPO2oIPbLzpPtM,And,31
-mzE8kJNOw_XrQ73bQDSa0wWQRGZEDIg,And,36
-nE3YSLqNuTm_mtrZ5L9BwrbypQdXVcf,And,36
-nUpZjqKLOzZyBDfw5JEa3YV1X9I9CGH,And,40
-ntZw9gYagAhaZJ6jDNcFLorwZ4bzTUr,And,40
-o7kzi5qmIZfaIIEd5NGcAzZHV_9QRgH,iOS,37
-oQDz92wu03AZ2-D1irCumssCXQpN-5X,And,-1
-or848YnAnSJGWOVYW1G68RlyL5F4MnZ,iOS,41
-q1k5EBWQpvt3doDD_yPffzNHxAc4ZOE,iOS,21
-q4JWL7qLn0v4G7sF2zu2qk6oKZX3q8-,iOS,29
-qJDt4SYPRFW4VJ4Vkicp6Uq8Maex4s1,And,29
-qSFJnPE73ecwpMi6IEMY-h8JvC3l6-g,And,45
-qi0FQUqpRT_HTyqUJkh6xOX8s_nJ2Ig,And,37
-rX2fqH11nFsbjhz85EE97M1TDBPt6L0,iOS,26
-rXiq_hr4k7Ahc08xOeY0pBBZiowt0A6,And,31
-rca_qeVKg_LY2-qzo9cSd_zJGWlpDSj,iOS,18
-s5PfPAiXs-afbkx18hh5W5PgO0qBXGj,And,36
-sMkdXHIJZNnQcDVLmXgtvViedasPi1x,And,41
-sgzu6doO3Y_3K6NRTbBxKBrea12eboi,And,15
-t2VveCySpPTSKUSl9-pMzo3u62Ggit-,iOS,22
-tW5GAv8KvgKrFo2-Z19DWlPcLk8TTTF,And,35
-tzA6cOZvW5Efu0xpECy40CowqfkPwO8,iOS,28
-tzXKYtM-zPSNz8FuSe3S00plYhVss2s,iOS,26
-uP3hBXAvdArCk1kddfJEMJpLDB-7wkg,iOS,26
-uWVJ7qhriUBwmcXPp1J6hiaPnJgzo-k,And,15
-vi0zV05ls8IREioBZFot7kEfW07mzzZ,iOS,25
-w6Hn7to-3UNAYeCgfZz65QY4BG1Qpm3,And,24
-wcrIwgwRiN9I748jpQUPFcSLq183rx_,iOS,28
-x35t_xG2_8rLJydgJ7uog3IlE1__M6U,iOS,26
-x5yC2fNbmZ1y1TZUQG8-BiqZao_Q_UN,And,18
-x6YjF3A7Tm_cOG2S689FT3vgjWVbJaO,iOS,29
-xUJVucG0yeNyx0jos2Vpt7vjR4tVG_D,And,36
-xY1NMPEmDc7HPv7Ar7-HhCV6rkFNbn5,iOS,17
-yHKGC8ESwJbi6ysS4cMoBCAjhmvymvV,iOS,25
-yYxdTxSPvod6MHBdrpRf-4eUFVLy80Q,And,40
-yh-CtwaVROnUvKvhEV4-pwmxkU1dYUb,iOS,-1
-ytNEbQLZTfvkGpycZ0_j1t4Y8Glgv3H,iOS,31
-zU17fYsoGBmwr3198kSvz0Qc4K3Ht61,And,35
-zYXYlWkMTgpQOQYuk4TpXpKqUKilB9n,iOS,20
0-gltdZTK2hQMBKsXc1uzlWe3SsWFgma,And,15
00Eh8XFntJ9gWn4xFj8U_tDbk6kO0eI0,And,21
00X9QSX5rgLtmdgNSPhg6OSO25l53OnS,iOS,43
00gZAUnFn0Ask_plQ9OG6eN0Ze2EEoOL,iOS,21
014pMyWVzj4zAYL4OlGGroRL5tdKNPhv,And,38
01KUOJqNtZUrItHzjf1pgo5UFMswmFg-,iOS,25
01Nj5u5R5nIhoUZVSG2WA8hy5dM2pG3p,And,20
01XiiHWG6ex33qwoaUO6m3OLdcxI52OA,iOS,40
01grFSp_ulX9ezy6CfeWesfYrj3sm7v0,And,22
01m8FY2yeGk9raQDP_FKPXnqWCrZY0Y5,iOS,15
01oEO-_tOKpAiMkUAJwEreqD3qTgSU3U,iOS,22
024d801eT2x_sk-1hS8tqUIZJQgoffxL,iOS,33
02D_k1dBXOaRksPQzwx4WOviMRsTnaVu,And,33
02H7ZMqxlxiWdrj3CMNvgxIwkD8nqmXJ,And,17
02iSxgOe4uNFpOBo4xBYQ3ZnkYk9c9iL,And,42
031IrKuZ-JWtE242Z5V4kk9xC0gs089g,iOS,28
034N8bUP-LDPaIrgDyzHLLhrtyn4QrYD,iOS,24
03NMvIIU-VSut44TktPL1eQ2U2GEQ2vT,And,26
03ZPQuOqobYFqRdE5LZgcDrAOV9b7BCa,iOS,27
04-4OZ0ymZ_-_FAVcOTAZCfs2rdvnVoS,And,24
04iVDKAyu75QU3KlclcU2sFBtIkjK4Y_,And,16
05Nnjm26REx1v0ZiA9Ope9BMk9FbVwFL,And,25
05hXopf36nfEF7E76ga3BTZ5rv0YsoCQ,iOS,18
069VNqpO_kh7D_Cd9qww-B5CalJzLpGL,iOS,27
06KK25MxvBiv3SkYlX_UqVA7TWS-OwSM,iOS,22
06OK0BrZPe9kam_jNNs91aU5D5GVOTxu,And,41
06PPERX_ghAqv2sBqzuu3f0EGQvxH485,iOS,29
07i5CvcIsrFGamyYUQn_AvP0tX_AENHT,iOS,28
07spgxiiUETUmIocoG-8ufYW-hEx7uFz,iOS,25
07ulvZ4sDElozBKCRxrY2hSE9NmK4XQf,iOS,32
08KSaST5YdgsbKomkja6LKzO4_upevtO,And,25
08Kdc6Yynsn4cYY8CfZmeHUimCt4BpVW,iOS,31
08Vj8RCzTySLKA9xchuy14Dwt6-c74mh,iOS,23
0A8OQkB3vtVZfrR_va9GuohGwnOC3bz8,And,42
0APXGmH7Ok52R80Dk6Pmvt8Wj_YGQ0AB,And,15
0AXScEXtOR6BZ2LoCJPflPR1EFBXCwwx,iOS,24
0AczcUWa3arslb53eXOTJPUYzE7-xi2N,iOS,27
0BDgEfQJwF0cudqtYkzIKniWA3D9-iwU,And,45
0BDwr2zgQfJiNYehRGhPH7Whpu1tVCYE,And,23
0C7ChjFwTnR9xHyIAR1bhdCDzd6CbLHZ,iOS,31
0DMjVnSXpASdqQQaQwopEkGaIReiLCUa,iOS,-1
0DQvdfu6eAQUja9cBpLE7zKdjdtmAm62,And,17
0DT8_c1omY8k-rkbEto46XXpCyh1JYT2,iOS,18
0DXsYrJ-ffcI8ApKXHb03ibFQmqVKYhv,iOS,30
0DmK3YpGHiIqjGLGeLcuPxuFVUFNBXNm,And,17
0FYscHJu7mSgwCQVTsFTLUHnlIK4TQWh,iOS,37
0FlD3jD1b9mDW5c0Rbes3LPWVgPZyvH_,iOS,41
0FnBTJU0QJFDAOj9TGsKtea3Zkplzia3,iOS,32
0Fx5LbfOeqs9wtsb8HQJhJgrGcnDlAf8,And,18
0Gb0YtIWqOts5NJrVduPw-QDukGcF0zg,And,16
0GmiHxmWRI9yWtGgZNDsZfYGWVXlvkJL,iOS,32
0GuqiwNd8_1TBrw8ig0LzqY6jO61lP9C,iOS,16
0HxrF9vnFhT-1HREcMRGTfgKb0gWFzxo,iOS,17
0IVkO10P9oorsf_yUHFrXt6fPcrqiwYe,iOS,42
0IWhGUJc8g7XK3MtzeqcRHTIot4EwO1Y,And,31
0IczEJlRXPQ7rWVs6SU9wS10k41Etn2t,And,38
0Is1QmxVRf6SzJi6Qm6H5-21QIlC6Ek5,iOS,36
0JKhLtIx-NkFM440Adbg1wVi4JXzCylu,iOS,24
0JXPzy9rbTMO2974aUNNxjfHyVYRSQTz,iOS,32
0KU_nrrjmsoYBkDKTxMwb35DmdVKqUQd,And,40
0L8x9JBvv76aaw6vfpu2pF4zpv_ysRp-,And,32
0MLy1VJJ9QwY3mqZaSQKOBugwAnbJZVH,iOS,31
0Mo4DHeFEi9ox7cENQBE8v90K4gZ-pjS,And,41
0NaqAt2fjN-JhPRX79Btu0V-P4UhtwEq,iOS,29
0NunOZYHrDHIQBSTzia2t2ujljWeFIdU,iOS,20
0O5UkP2PjckTrtmiI5T_vq9xpjgbCKXG,iOS,37
0OlMbb3hrJw8eCgJYkVDYrEYIezR9JbF,iOS,16
0Q4ALyHqMT9h5UyAghB-GGLKoPSWlIdX,And,41
0QDaEav42T34tlNXPni3kzqr3Jy8R-ac,And,27
0RMN5gHlIFemGGvgXesN1DWfxXj4ce6B,iOS,34
0Rh5zykltVmn_tRl6QmxBgbRcDgsPJxW,iOS,25
0Rk8GxhkCGSiOy8erVRvEITaXkkRgXlq,And,31
0RsDTwKEYNt8tlWoNk1kJi8H7yFpK8ll,And,18
0SGJPS4QooPt1MV-CIp9aKYlUIwNIqnW,iOS,18
0Shc3mYNv6HapWlAL8C5nb_O8XEZy-lI,iOS,29
0SrUbI4m_nOPyTzC19KHNFn_jRTeGHXh,And,45
0TFp43Z5GtmPIvFAjJlJ4VBYRyU-XV_k,iOS,19
0Ui4C1Al9g4w_RWzUaNMqxljuQnWqrQ-,And,34
0V97gBVq8-sVO1sfVQuVwhYduz56fABA,iOS,33
0VQoPKljij0vNzMRxiyiRsiH_H0YBmAs,iOS,19
0VqIpVCjNZTUKf4diGRj0daT8YVdOBQk,iOS,23
0W43jLHSMhsaH2ggCfrp5KmWEP4ZlqiD,And,43
0WE-8x36fShcC3VpQ3FmeI7W-Tu11F4U,And,33
0XDOdDmxiNj2f-EDRtinS_vXNXC8aYPp,iOS,29
0XFToWYIDpGw813B_7xv6OhrSALXxxdy,iOS,26
0XGmnerLJmMrXpCiBE_tjLU8cfc4dctz,iOS,17
0XPWqMdoFqWKHcQhnB7NaO9k5zvmCNvx,And,38
0YNZe4EjjOPQkcRl0_aXgUsalLFPkrCh,And,31
0Z0KgIwqfdku8UsKE_ou2gjEyhBR7fQ1,iOS,17
0Z6h_ap4-9HiXGx9pqzQu8BL75BRDuzH,iOS,27
0ZECVOXqREDC_GkM26ZI4UlTVqNrvW3q,And,17
0Zf0GUoHH_jUkTzi3lYUzmIL1DsjuMsm,iOS,19
0ZpjflYqN2U5OXM_wLF_1tUYz2uJDcya,And,37
0_Cn3oC0Kh-iNUpa1tPOFPnQE4_sKNir,And,40
0_bjfcGmMkwQAa5OOJlZclavXm96UL4v,And,25
0a05D4dY0tbwmtnuuOE5jeuIpoMpDyvQ,And,30
0aotjYOyR7ko18AswfRHroY-zdf8pv_n,iOS,25
0bHdH2xtnsZG_OWAazx6qpEY7GCVLGHw,iOS,35
0cCZgeF8UnJZuG2-B4RfLS98Nrq2lmyp,And,20
0cr6hffVAdoCRVHw055FGOAgcgwZdus3,And,37
0dS3hsANFXxP6_gu1UxK77Nw8oa9XJsg,iOS,39
0dr-gYBcJ3l27jiq8hexxkZEHGIZx3yM,And,32
0eHNCO93JYE9haSP9xga_BqFDs1hFZHU,iOS,29
0eXufTpwvtTJw_LCsI-d1eCQwOYenX-j,iOS,33
0fOZKkH3DyccewemxeiUX2PVlodRrw0E,iOS,24
0fT221loKrCKHBjnuqHy3C5E16P6Sati,And,34
0fb3gjWcIFEZhmXxppsgceIfQPCyBRll,And,40
0h770WXoLOIoR35Q4fICQHfn77GJK0vq,iOS,22
0hLk22zcupwQQNQeOCNtaZ3Mp6L1DcHY,iOS,21
0i5UOrJ_Czfntj933oFJZvXjcwiohrSK,And,18
0i7yulFZRdYYDkaXjacFPBxmHWzQA2ci,iOS,32
0iB3Q2iNsefqk0WbFCgLn6SsuDRA7fKk,iOS,28
0iGJ6o5tisw1QIvxL8EvpPqkCfRzqJpS,iOS,21
0iksS9880WhuXnPhaxIxTzdGhOk9bSke,And,36
0irHusHHH_OFwwZ-o0a8CV8-0dgtfa7I,iOS,39
0iwz9g--onT-efA6XkkHUZMZuS_CJzfK,And,41
0jDJEHkM5qzpJp1dH8f_vl1pt3OagluS,iOS,35
0kGYO7tlwhIt-L14QDcHKbTIg4UfqJCD,And,34
0kQZr5aGOvPtUXhy8CdCw6K_-ZN0JQR6,iOS,30
0kT_MaV5iDk0x0HhSx4O3sMC1BWgvP9c,And,41
0kWYTXVESpS19o-n0orNiH80G2YeAm4f,iOS,21
0kyZPjj-YgjoAWzoWA66Zbas1KwjWX1V,And,43
0lBszkbz9kovzQT9kFqxmdF3dZgBySl6,And,33
0lqhixdLVBd-OwnAmDXYYFUTuYXbHrNX,And,38
0lskkqdtaMhWq6eRzo6C_sXCNUL8yYIg,iOS,28
0m93Pf39llcsraknvNOydN7i1ZDaussh,And,39
0nijm7Rm2CT19_2w03b64vv4sDgURQgC,iOS,24
0oW2TKuLD52MVnHOp59TkfI0UrJ6fyXa,And,45
0pqtZNif9M7bG3JlTrZFeZqxZ68-2265,And,34
0qI6xdz-eW3YdbWKU40O_W9iwrlDDiHZ,iOS,21
0qkSOZNXgBIsTk-OicgAoPAHAFoS9ewi,And,38
0re14M5dlXLX96c0nppbi8lgBysDXAX9,iOS,35
0rsUT9-6YmSYMHwet2JDXZTDm2NGTIuC,iOS,19
0smySpfFcVkfvqNjp2wX1M3tWjKjiZWp,iOS,26
0ssxm5cQEJgNRBRIH4qAsqRc0NnsP_oN,And,30
0t99FIhUsy_ZUc0jFVIrSvB2sFCTDeM0,And,35
0unthUZRKC3pnIOPKi1iNUAB40cjJxzR,And,40
0vA6pPSSVurO_ngTNEWag3Y46kbNB2uB,And,22
0vLItdbtHdwAzdkq0Cx-iFhwu9-HoWgI,And,37
0vUUJAAk4ajw0yDPqp-CCyKYfDQIhZOq,And,28
0vYBY_pYEf0M6-ZLliAidPi7RNUzoaqk,iOS,25
0vbOpEGgMq35ZRiic3EmiJg9nhvcHf85,iOS,32
0wYpjA95SAaJBo1qxpUrCjmuGtXNV9JT,iOS,20
0wh_rlOMGI9bIUwE3opajvEY1rx2CdRA,iOS,28
0wiOOlG4jSCZA6f1Xfp9MBB5RsAqbGku,And,35
0wtRkLBCYD5mxdj4WhN1-DBDIwApp8JZ,iOS,39
0xVTAc_xhemQ6Nm5_22pQzCm5RMal4VP,And,18
0yLFmLjRqLr5sHysNpshgTJLI6dPkgSB,And,42
0ybXl-z_oeHprYjYQN8RhEWgEBHB5qRs,iOS,29
0zG5WqRlSV8cTpBluRcykdjLvljV4RRH,iOS,-1
0zH9odveWsdGzqcLAQq8jXILtbQAeYM3,And,15
0zRbO-8SB59HNnbnnWukr2peecVXjB11,iOS,-1
104M4u84kiL5aF64NLY0vL9qXmfSTaub,iOS,35
10DY5fJQXOx7KalUWWQCfGwkbUF4_tSj,iOS,15
10V-ulgTHS2DLolh4KW5tp85XO9bCx4m,And,38
10fNHxo7I0UeslZ_jWO0u6Ks-gheaRM_,iOS,23
10iAIDcSdelLbl727vZlrD0by-uCTME0,And,30
112p8Eubmt0BGipihoMYmBYKcss29t5s,iOS,34
11NVzbZdGxYQE5_-gctsEfldK6wdbtXK,iOS,29
11VVVSXb7c1ckNPv7_Vk6rKqO-s4RieM,And,-1
11XECLB3yN9wqqFLg6hW4e2N-eamqWuE,iOS,-1
12FCBLx8K7kBgFDwiOvJ_IeyC9bMNhip,And,43
12bzBfTJ6oCjrn0D4rH3_KZpTimQ2gHg,And,33
13Z3ivsDVWRZsbm-_FGIgEv9DbEZzROQ,iOS,21
13a0jS7wPrQHu1RXaU37k_mFy1Zcuxru,And,16
14m1Xuuji5NKN-W_r6gcv6aalPQKapiT,iOS,31
14rNnVtNC8putPL8uG00qwvfvlbqrhgI,And,31
17i5A1oJK4pgHuLplyCYQtaavxVS-sxs,And,32
17vFMhpucWeA7YPxhVCcbSk0sXXYvasG,And,19
18N29EQm4FrLiq_O-e6jaK0o06yQxnM8,And,40
18ydVrQEd5cHpg8yfQa2aFdHdOcqfDOn,And,-1
19CzwF8XzU1ot754JLbJx3Fpf8VevfkM,iOS,22
19aRDkVkz0c0jRjkuPT7el0ExIB6CTIO,And,35
19qyPUeyHtky7DtEF-z5jWIpx5kcqvRO,iOS,20
19vOH1W4-cFanhVEGQd_eJeo6YofJZiP,iOS,15
1A4QseB1hB802AE8hX3yOmN_NUeL_dz9,iOS,28
1AYyk6F9YhbM0VfBanxosdrV7UZxlIqf,And,19
1B03YqTegi5rWzLl3fGyv-C2CD6_We6Q,And,33
1B8S7rUTZyaH6bTUft9NXFvcGdpWMvrK,And,-1
1BMz17rMd7z9tT1ro-D7sQpt0R34qQX3,And,19
1Bd4UXH5we3OcmHlc7R4jYEux9Pc6So-,iOS,34
1DIV8bDQkNGrU7jN3o4r5UVceBROpLrO,iOS,18
1DTMQE_BODMnM91lzy2ueuWtSi3zRpWI,iOS,19
1DUYh7L-d_IW6f6AKvqcE4mOGb78X_Xv,iOS,41
1DZPhpJ2aaxpVGcSBJWjsa7kIG-FMpYG,iOS,32
1De_f5uGduK-EuRMJ9bCQdEJQ9okt5Eq,iOS,19
1E7_sCfoczuOsgwEOuHHTqzZoExkYhn2,And,34
1EQDT6V6rDh5ggghF1AzaxQYqp5dYRkt,And,42
1Ew3cVtiFPG7suOuRwoNYyd2gWzu9LX1,iOS,35
1FBkQtWUeOW-aNZTiVr9o0_nu23C7DLC,iOS,42
1GHNmC7S_bX62J8MI5MZ7Py0C_7UcSPn,And,19
1GU6Ooc3qpY4OQyNc24ufGk7Y7jP-n4A,iOS,15
1HI4dPEZ-y21jYKhjfQE6gBGPEm877px,And,23
1HSzg5OwHx_szDwoLRTrk-AcTdQEB7hT,And,21
1HYpmK191903zM4bePZXe4asdhwuZViN,iOS,19
1IbeQqYXFyQQECqQQLtDIfTcMyioCGhI,And,38
1ImVVVl3_ksamJz7GbAo4lyCZNqo7MZt,And,34
1IygVyx527vpKAqhUjaVE2nQNnuluOmR,And,28
1JcrkjyqVsQPp6WFNAa29HYQt5sBhjC4,iOS,16
1Jf9FuYyyx6j6pabPWQB7CvCmShz3fbe,And,36
1Jg4yMAvdCvI3WXcGeqvvtrdrdqd3b-l,iOS,20
1K7_rSGjsLKDKWd9VOpHQQq06qUM54Wt,And,38
1KnoOIPFzuMsD_PItAtDnZdLiAYihrKz,iOS,20
1L5xgu5SKZCpxuhCKjVS4SSfPvG_v_zI,And,41
1L_JXMkZFtQ3r9_hQJxfBw92aHqc2zOu,And,35
1M4ut3jN5QclQfsst-YzP_m9BMogaFwx,And,22
1MGnWMFJeWFB3QX8uxM6TLBmq_Fhw3tO,And,40
1NSgBL12iqrfwjkovKFN-Ur3EMbqwo7t,iOS,28
1NrUWXwi1AlWjpLZruXGmk53sbDkfj-9,iOS,29
1OINw1ZOt_ORW1oBMsc-KdLl02cskDl9,iOS,45
1Obc9B7eSwQewlujrRkWq7kUJfcw5J2b,And,36
1Oip4wEMJv2ng1Aqe83PAjx56HGiMTtX,And,31
1Oy4KGGOlh1c8wUUUdO4PZKBLrpBpdIr,iOS,25
1PBPsoBPqFWHRfT9fvDEm0zPNVGDGlOW,iOS,23
1PRNbvTl51TTGQ5zV0nRkCkmJMMiG4ne,And,16
1PwSmg5OXG0sKu9InlOINBRfh7QtHFgz,And,38
1QFtOeiyU_agnNAPHRILYsan4VkA-U9J,And,45
1QR_F1PTejVat5774nIa9UTX9d7S471v,And,30
1QuPn7hnGAwz7X6H1CWzwB20DGziBJ_S,iOS,28
1R50flueeATWMQ9q4qE1TsNKBO39b4d8,iOS,39
1REpaSmBGCDilAggy3M0B9LA6dq3C8pC,iOS,30
1SOB8K3767HRXQibM8yM6CURzq4qpBO3,And,34
1SZp7sMFWAfcLfGOZOWKLyDgfaIw2jT7,iOS,27
1Sc5Z0wfPctbwkk4YCUcc1L6nChEDZq_,iOS,22
1T57BY7FCh7Jw_baywaGT4EG-GJWzjmj,And,38
